Date,close,Open,High,Low,Vol.,Change %
16 12 2001,1050.85,1089.90,1098.00,1043.65,200.00M,-3.40%
09 12 2001,1087.85,1112.15,1123.55,1069.95,285.95M,-2.20%
02 12 2001,1112.30,1067.20,1132.65,1063.25,315.38M,4.23%
25 11 2001,1067.15,1059.25,1097.60,1059.25,239.85M,0.77%
18 11 2001,1059.00,1034.20,1082.40,1032.85,317.37M,2.25%
11 11 2001,1035.70,1004.55,1038.35,999.85,154.23M,3.15%
04 11 2001,1004.05,997.25,1014.10,984.45,253.56M,0.65%
28 10 2001,997.6,983.15,1009.55,959.35,243.92M,1.46%
21 10 2001,983.2,980.05,1000.95,973.2,215.72M,0.67%
14 10 2001,976.65,963.65,989.05,954.35,225.52M,1.69%
07 10 2001,960.4,911.2,969.9,884.65,231.35M,5.01%
30 09 2001,914.6,914.65,919.75,896.25,176.55M,0.08%
23 09 2001,913.85,853,922.55,853,271.65M,6.98%
16 09 2001,854.2,916.15,916.15,849.95,274.07M,-7.12%
09 09 2001,919.7,1035.00,1045.30,902.7,199.29M,-11.16%
02 09 2001,1035.20,1054.65,1059.90,1026.45,201.77M,-1.76%
26 08 2001,1053.75,1064.05,1078.35,1051.75,168.88M,-1.44%
19 08 2001,1069.15,1062.50,1079.00,1061.00,137.23M,0.00%
12 08 2001,1069.20,1070.95,1084.00,1061.05,163.88M,-0.18%
05 08 2001,1071.15,1074.20,1082.40,1059.55,145.44M,-0.32%
29 07 2001,1074.60,1051.45,1077.70,1050.90,201.62M,2.18%
22 07 2001,1051.70,1076.15,1076.15,1046.90,112.14M,-2.41%
15 07 2001,1077.70,1110.35,1116.70,1072.75,136.60M,-2.95%
08 07 2001,1110.45,1064.80,1127.15,1052.10,141.01M,4.26%
01 07 2001,1065.10,1108.35,1119.55,1059.60,126.06M,-3.86%
24 06 2001,1107.90,1087.10,1114.35,1060.05,207.51M,1.86%
17 06 2001,1087.65,1087.75,1102.45,1064.40,186.54M,-0.01%
